,message,sentiment,predicted sentiment
7167,not find reporting climate change opinion page yes actually read bullshit rgu men,1,1
3747,biggest contributor climate change rich white country amp main victim poor black brown cou,1,1
2814,trump epa proposal cut funding climate change pollution program via engadget,2,2
14261,michael bloomberg wrote thing make profit defeating climate change,2,2
4650,retweet next stage climate change liability litigation resembles lawsuit knocked tobacco company,2,1
1081,2 day christmas gon na 60 s thanks global warming,1,1
8861,take truth global warming animal feces processing meat eat barbaric yes annoying census 1958 proof,0,1
5784,retweet surprised find dramatic lorenzo quinn sculpture venice human hand climate change venice,0,1
14651,retweet t believe man made global warming silly issue give natural resource defense council,1,1
9171,retweet ah intellectual elite know best world leader duped manipulated global warming data,-1,-1
14510,google earth time lapse update illustrates 30 year climate change,1,2
7589,retweet great interview sir david attenborough fan career climate change b,1,1
5891,retweet yeah cathy suv cause mann made global warming scam,-1,-1
14127,retweet britain environment secretary voted climate change measure 12 time health secretary want t,1,1
1137,retweet trump refuse send lot money grant research watch quickly climate change fad app,-1,1
14528,retweet could greatest pm history acknowledged global warming climate change biggest sca,-1,1
8644,retweet deforestation climate change financed saving via,2,1
5717,retweet u elected trump rest world didnt u policy e g climate change threaten,1,1
2205,retweet not deny global warming weather also think world hunger hoax ate mac li,1,1
10994,well know feel climate change,0,1
11039,retweet gop explain kid failed combat climate change prepare impact denied basic fa,1,1
15678,retweet human verge causing earth s fastest climate change 50 m year dana nu cci tell,2,2
785,e o trump acha que nada est conte c endo retweet effect global warming,0,1
4181,little p iste importance climate change global economic trade wind,2,1
5855,make saturday get sunshine boy global warming,0,0
14522,twitter account donald trump said 6 november 2012 concept global warming created,0,2
7397,climate change giving great barrier reef herpes great barrier reef,2,2
391,people deny climate change not im mad anything im genuinely curious,1,1
14598,bbc news badlands twitter u park climate change tweet deleted,2,2
3740,retweet machine started sucking co 2 air save u climate change innovation climate change,1,1
6676,retweet interested climate change population biology demography got phd nearly im recruiting postdoc ge,0,1
